date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:23	1858/1858	---MCZ	200	added ('OK')	text/plain	etag:W/%2260f6028c-18ef%22	https://sharpspring.com/robots.txt		(from )
15:15:24	225615/225615	---MCZ	200	added ('OK')	text/html	etag:%22abb7b809c1529f85a1303619fadf3825%22	https://sharpspring.com/	D:/PC/website/sharpspring%20keap/sharpspring.com/index.html	(from )
15:15:26	6275/6275	---MCZ	200	added ('OK')	application/javascript	etag:W/%22611e5e8b-1883%22	https://sharpspring.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from https://sharpspring.com/)
15:15:28	134456/134456	---M--	200	added ('OK')	application/font-woff2	etag:%2260f6029f-20d38%22	https://sharpspring.com/wp-content/themes/polo-child/fonts/icomoon/icomoon.woff2?2z2lgd	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/themes/polo-child/fonts/icomoon/icomoon356c.woff2	(from https://sharpspring.com/)
15:15:29	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2260f6029f-12d68%22	https://sharpspring.com/wp-content/themes/polo/assets/vendor/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/themes/polo/assets/vendor/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://sharpspring.com/)
15:15:31	50409/50409	---MCZ	200	added ('OK')	text/css	etag:W/%2260f6029f-c4e9%22	https://sharpspring.com/wp-content/themes/polo-child/fonts/icomoon/icomoon.css	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/themes/polo-child/fonts/icomoon/icomoon.css	(from https://sharpspring.com/)
15:15:32	1097/1097	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2236eb995e12a303ece4c59fbebad5fcb2%22	https://sharpspring.com/comments/feed/	D:/PC/website/sharpspring%20keap/sharpspring.com/comments/feed/index.html	(from https://sharpspring.com/)
15:15:32	53907/53907	---MCZ	200	added ('OK')	text/css	etag:W/%226113f775-d293%22	https://sharpspring.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-includes/css/dist/block-library/style.min5697.css	(from https://sharpspring.com/)
15:15:32	75695/75695	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228de3b6064c4156c4bfcb6d226530424a%22	https://sharpspring.com/feed/	D:/PC/website/sharpspring%20keap/sharpspring.com/feed/index.html	(from https://sharpspring.com/)
15:15:33	1217/1217	---MCZ	200	added ('OK')	text/css	etag:W/%2260f60292-4c1%22	https://sharpspring.com/wp-content/plugins/embed-any-document/css/embed-public.min.css?ver=2.6.1	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/plugins/embed-any-document/css/embed-public.minc141.css	(from https://sharpspring.com/)
15:15:35	36/36	---M--	200	added ('OK')	text/css	etag:%2260f6028d-24%22	https://sharpspring.com/wp-content/plugins/advanced-contact-form-7/includes/css/styles.css?ver=4.8.71	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/plugins/advanced-contact-form-7/includes/css/styles9bc2.css	(from https://sharpspring.com/)
15:15:36	3061/3061	---MCZ	200	added ('OK')	text/css	etag:W/%2260f60296-bf5%22	https://sharpspring.com/wp-content/plugins/polo_extension/assets/css/frontend/frontend.css?ver=5.5.3	D:/PC/website/sharpspring%20keap/sharpspring.com/wp-content/plugins/polo_extension/assets/css/frontend/frontend5697.css	(from https://sharpspring.com/)
